src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8
"image_0168.png",1,3400,4944,"c00000_x2921_y0121.tif",2921,121,32,54,2.962963e-01,9.710000e+02,3.872778e-02,1.694966e-02,2.857553e-01,-6.394812e-04,3.391446e-03,-6.014278e-03,-6.945027e-03,3.244830e-01,6.217174e-02,5.959493e-04,5.690045e-05,4.590405e-08,-6.214003e-06,6.705308e-09,6.377249e-06
"image_0168.png",1,3400,4944,"c00001_x2994_y0121.tif",2994,121,35,54,3.240741e-01,8.380000e+02,8.088472e-02,-1.336046e-02,2.913139e-01,-3.077677e-03,-2.313831e-02,-9.667457e-03,1.116134e-01,3.721986e-01,4.499444e-02,3.344335e-02,7.990283e-03,1.278179e-04,1.673287e-03,-3.697025e-05,-1.348723e-04
"image_0168.png",1,3400,4944,"c00002_x2957_y0123.tif",2957,123,35,51,3.431373e-01,1.166000e+03,6.825236e-02,2.623435e-03,1.979182e-01,-2.722264e-03,4.688497e-03,-7.421162e-03,-9.451732e-04,2.661705e-01,1.684076e-02,6.071794e-04,1.169016e-04,3.778493e-08,-1.192271e-05,-3.081899e-08,-4.690266e-06
"image_0168.png",1,3400,4944,"c00003_x1940_y0126.tif",1940,126,23,56,2.053571e-01,7.920000e+02,2.914871e-02,-3.384723e-03,3.892425e-01,-3.667695e-04,1.118072e-03,3.319057e-04,-1.508065e-02,4.183912e-01,1.297133e-01,3.417006e-04,1.949548e-04,5.014876e-08,7.019453e-05,4.084587e-09,8.351489e-07
"image_0168.png",1,3400,4944,"c00004_x1967_y0127.tif",1967,127,48,56,4.285714e-01,1.435000e+03,1.436638e-01,5.236460e-03,1.693925e-01,-8.591543e-04,-1.824192e-03,-4.706551e-04,-4.110149e-03,3.130563e-01,7.716501e-04,2.161810e-06,3.698480e-05,-1.968581e-10,1.025870e-06,-2.863339e-10,2.789027e-08
"image_0168.png",1,3400,4944,"c00005_x2015_y0127.tif",2015,127,47,55,4.272727e-01,1.419000e+03,1.108316e-01,1.098989e-04,1.695062e-01,-1.289684e-03,-2.444789e-04,-5.298068e-03,9.147406e-03,2.803378e-01,3.442758e-03,3.109230e-04,1.226606e-04,-4.379139e-09,2.078503e-06,-1.927570e-08,-3.445223e-06
"image_0168.png",1,3400,4944,"c00006_x2067_y0127.tif",2067,127,37,55,3.363636e-01,1.153000e+03,9.394227e-02,-1.754951e-03,2.216891e-01,-4.421548e-04,4.716165e-03,-3.425312e-03,-9.358425e-06,3.156314e-01,1.633158e-02,2.971481e-04,3.711134e-05,2.291007e-09,1.047144e-06,1.768634e-09,-2.312800e-06
"image_0168.png",1,3400,4944,"c00007_x1415_y0128.tif",1415,128,43,61,3.524590e-01,1.397000e+03,1.078106e-01,1.134899e-02,2.172233e-01,1.238585e-02,2.528891e-03,7.395670e-03,-1.166609e-03,3.250339e-01,1.248633e-02,1.726826e-04,3.931645e-04,-3.932280e-08,-4.138774e-05,8.244177e-08,7.368350e-06
"image_0168.png",1,3400,4944,"c00008_x1691_y0129.tif",1691,129,45,55,4.090909e-01,1.246000e+03,9.668530e-02,-5.076700e-02,2.098113e-01,1.915637e-02,-1.670011e-02,-1.164287e-02,3.166229e-02,3.064966e-01,2.310665e-02,9.610311e-03,2.803194e-04,-3.989646e-07,-3.889667e-06,4.220096e-07,2.121654e-05
"image_0168.png",1,3400,4944,"c00009_x1740_y0129.tif",1740,129,46,56,4.107143e-01,1.216000e+03,1.262255e-01,4.973820e-03,2.417854e-01,9.803101e-03,-1.348257e-02,4.582674e-03,1.327257e-02,3.680109e-01,1.345306e-02,2.901431e-03,2.069946e-04,4.953710e-08,-2.397021e-05,-1.603451e-07,6.800005e-07
"image_0168.png",1,3400,4944,"c00010_x1788_y0129.tif",1788,129,47,54,4.351852e-01,1.479000e+03,1.065663e-01,-2.698582e-03,1.623330e-01,8.782818e-04,1.984031e-03,-4.910055e-03,7.546427e-03,2.688993e-01,3.139054e-03,2.461656e-04,1.070848e-04,9.283872e-10,4.573538e-06,4.610193e-09,-1.941571e-06
"image_0168.png",1,3400,4944,"c00011_x1841_y0129.tif",1841,129,47,54,4.351852e-01,1.269000e+03,1.598031e-01,4.395243e-03,2.344496e-01,1.859477e-02,1.859379e-03,2.748803e-02,-2.426762e-03,3.942527e-01,5.649374e-03,4.143368e-03,2.123947e-03,-7.336230e-07,-1.589568e-04,5.521652e-07,7.380679e-06
"image_0168.png",1,3400,4944,"c00012_x1890_y0129.tif",1890,129,49,54,4.537037e-01,1.143000e+03,1.076326e-01,-2.162300e-03,2.607929e-01,8.203878e-04,-3.151019e-02,-2.000676e-03,6.223237e-02,3.684255e-01,2.347678e-02,2.462117e-02,9.452451e-04,4.613185e-06,1.446609e-04,-3.266975e-07,-3.515873e-06
"image_0168.png",1,3400,4944,"c00013_x1564_y0131.tif",1564,131,48,55,4.363636e-01,1.538000e+03,8.937760e-02,1.541078e-02,1.693816e-01,1.926037e-03,5.215097e-03,-2.426341e-03,-3.769217e-03,2.587592e-01,7.350611e-03,4.616562e-04,2.340872e-06,4.915669e-10,1.026372e-07,7.631681e-11,-8.623313e-08
"image_0168.png",1,3400,4944,"c00014_x1614_y0131.tif",1614,131,49,54,4.537037e-01,1.538000e+03,1.093586e-01,6.336013e-03,1.845013e-01,1.099790e-02,1.454076e-03,5.414762e-03,-2.111018e-04,2.938599e-01,5.807015e-03,4.843995e-05,2.709203e-04,-1.161527e-08,-1.960848e-05,2.513136e-08,3.229927e-06
"image_0168.png",1,3400,4944,"c00015_x1463_y0132.tif",1463,132,46,53,4.339623e-01,1.335000e+03,1.184119e-01,5.481092e-04,1.742467e-01,-9.153261e-04,5.214461e-04,-4.535413e-03,1.011771e-02,2.926586e-01,3.118726e-03,2.342195e-04,1.429023e-04,6.601155e-09,4.534011e-06,-1.119797e-08,-3.283689e-06
"image_0168.png",1,3400,4944,"c00016_x1514_y0132.tif",1514,132,47,53,4.433962e-01,1.400000e+03,1.391965e-01,2.927747e-03,1.910231e-01,5.457432e-03,-8.868797e-05,-1.292288e-02,3.628551e-03,3.302196e-01,2.720290e-03,1.971113e-03,6.826354e-05,6.503057e-08,-2.548512e-06,-2.368649e-08,-1.243120e-06
"image_0168.png",1,3400,4944,"c00017_x1258_y0133.tif",1258,133,47,54,4.351852e-01,1.054000e+03,1.413508e-01,8.846314e-02,2.873000e-01,5.151509e-02,3.314343e-02,-1.334027e-02,-7.463844e-02,4.286507e-01,5.260408e-02,3.867874e-02,3.179153e-03,-9.519119e-05,-5.219191e-04,-1.457519e-05,-2.545931e-04
"image_0168.png",1,3400,4944,"c00018_x1312_y0134.tif",1312,134,49,54,4.537037e-01,1.615000e+03,1.098470e-01,1.324055e-02,1.691369e-01,4.779465e-03,2.701005e-03,-1.313385e-03,-3.915764e-03,2.789839e-01,4.216539e-03,2.204829e-04,1.348935e-05,-2.620809e-09,-8.477956e-07,6.821768e-10,-1.101072e-07
"image_0168.png",1,3400,4944,"c00019_x1363_y0134.tif",1363,134,48,54,4.444444e-01,1.301000e+03,1.331280e-01,7.426392e-03,2.011294e-01,7.026219e-03,9.683022e-04,1.368034e-02,-1.113690e-02,3.342574e-01,4.844804e-03,1.354179e-03,5.321619e-04,-4.572190e-07,-2.837975e-05,-3.746670e-07,-1.190190e-05
"image_0168.png",1,3400,4944,"c00020_x0328_y0142.tif",328,142,38,53,3.584906e-01,1.329000e+03,6.566577e-02,-1.118543e-03,1.728954e-01,-2.209462e-03,3.948973e-03,-5.989047e-03,-3.179128e-03,2.385612e-01,1.150320e-02,4.740866e-04,6.780822e-05,2.621943e-08,-7.115709e-06,-1.050031e-08,-7.513093e-07
"image_0168.png",1,3400,4944,"c00021_x0395_y0142.tif",395,142,38,53,3.584906e-01,1.358000e+03,7.212433e-02,3.283465e-03,1.772611e-01,-2.518625e-03,1.578871e-03,-7.503849e-03,1.600986e-03,2.493855e-01,1.109687e-02,4.095490e-04,1.105615e-04,3.721714e-09,-9.916479e-06,-2.071888e-08,-3.054090e-06
"image_0168.png",1,3400,4944,"c00022_x0369_y0179.tif",369,179,17,18,4.722222e-01,2.350000e+02,7.828816e-02,-4.829835e-03,8.193129e-02,7.795502e-04,1.422031e-03,-1.055560e-03,-1.379868e-03,1.602195e-01,1.065816e-04,4.744961e-05,7.795901e-08,1.935208e-11,-4.623054e-11,-1.481361e-13,-4.017536e-10
"image_0168.png",1,3400,4944,"c00023_x0001_y0301.tif",1,301,3,133,1.127820e-02,1.790000e+02,1.485876e-03,5.112915e-02,7.841110e+00,1.431012e-05,6.061519e-04,-1.217600e-02,-2.688966e+00,7.842596e+00,6.147016e+01,7.241657e+00,7.227428e+00,5.228720e+01,5.666468e+01,-4.340656e-04,-1.132005e-01
"image_0168.png",1,3400,4944,"c00024_x1919_y0303.tif",1919,303,9,9,5.000000e-01,6.300000e+01,7.529784e-02,5.171028e-03,8.476007e-02,-1.596654e-03,-1.320036e-03,1.955712e-03,1.918819e-03,1.600579e-01,1.964917e-04,9.026995e-05,4.874644e-07,1.202488e-10,6.619746e-09,2.124529e-12,8.470002e-10
"image_0168.png",1,3400,4944,"c00025_x1966_y0313.tif",1966,313,42,32,6.190476e-01,5.690000e+02,1.887995e-01,-1.936317e-02,1.411504e-01,2.862579e-03,-1.684550e-02,9.886440e-05,3.060366e-02,3.299500e-01,3.770169e-03,6.590311e-03,1.980570e-04,1.605140e-07,-1.175719e-05,1.400985e-07,1.553960e-06
"image_0168.png",1,3400,4944,"c00026_x1928_y0314.tif",1928,314,42,43,4.883721e-01,6.740000e+02,1.897794e-01,-3.121635e-02,1.527093e-01,5.311909e-03,1.496315e-02,-1.050266e-02,-1.906235e-02,3.424887e-01,5.272040e-03,5.445536e-03,4.374735e-05,4.792410e-07,-2.280970e-06,1.745380e-08,-1.105324e-06
"image_0168.png",1,3400,4944,"c00027_x2081_y0314.tif",2081,314,42,42,5.000000e-01,6.700000e+02,1.914056e-01,-3.551220e-02,1.504171e-01,5.554501e-03,1.485192e-02,-1.189344e-02,-1.590891e-02,3.418227e-01,6.724522e-03,5.356288e-03,4.129942e-05,5.879936e-07,6.494602e-07,-8.911181e-09,-1.661914e-06
"image_0168.png",1,3400,4944,"c00028_x1910_y0317.tif",1910,317,19,30,3.166667e-01,3.700000e+02,4.474768e-02,2.261252e-02,2.083983e-01,1.654836e-03,1.293297e-03,-2.291445e-03,-1.102127e-02,2.531460e-01,2.882684e-02,2.947913e-04,9.503871e-05,1.642635e-08,1.598065e-05,-5.061712e-09,-1.117263e-06
"image_0168.png",1,3400,4944,"c00029_x1855_y0318.tif",1855,318,35,9,8.714286e-01,3.000000e+02,3.109222e-01,-6.739259e-04,2.124385e-02,-3.284325e-04,3.506441e-04,4.190542e-05,-8.005011e-06,3.321660e-01,8.391535e-02,1.329718e-06,1.994993e-07,5.704479e-14,-9.962094e-09,1.020884e-13,2.846307e-08
"image_0168.png",1,3400,4944,"c00030_x2129_y0321.tif",2129,321,20,64,1.562500e-01,5.610000e+02,3.384844e-02,1.392149e-02,5.889533e-01,1.940874e-03,5.086866e-03,7.603015e-02,4.217293e-03,6.228017e-01,3.089166e-01,5.126559e-02,6.166049e-03,2.353183e-04,-3.286298e-03,4.320511e-05,4.861338e-04
"image_0168.png",1,3400,4944,"c00031_x2193_y0323.tif",2193,323,19,62,1.532258e-01,5.080000e+02,3.444408e-02,2.286529e-02,5.902177e-01,-2.116230e-03,-6.681890e-03,-7.890784e-02,1.314810e-02,6.246618e-01,3.109756e-01,5.614240e-02,6.606711e-03,1.175928e-04,-3.673278e-03,-1.249494e-05,-1.420280e-04
"image_0168.png",1,3400,4944,"c00032_x2033_y0324.tif",2033,324,46,69,3.333333e-01,1.198000e+03,1.496810e-01,-3.527328e-02,2.991908e-01,-1.892480e-04,-1.847077e-02,1.054696e-02,3.066183e-02,4.488718e-01,2.733002e-02,8.421916e-03,2.559039e-04,1.462449e-06,-1.163535e-05,3.690760e-07,2.033700e-05
"image_0168.png",1,3400,4944,"c00033_x1643_y0332.tif",1643,332,41,50,4.100000e-01,1.046000e+03,9.231427e-02,-3.205201e-02,2.069957e-01,1.291040e-02,-1.471569e-02,-8.062372e-03,3.082819e-02,2.993100e-01,1.726116e-02,6.997514e-03,2.831161e-04,-4.696839e-08,1.706255e-05,3.875836e-07,1.652599e-05
"image_0168.png",1,3400,4944,"c00034_x1689_y0332.tif",1689,332,49,50,4.900000e-01,1.308000e+03,1.647478e-01,3.255924e-03,1.568000e-01,6.848754e-04,-3.844426e-03,-4.322256e-03,6.468057e-03,3.215478e-01,1.055719e-04,5.104154e-04,2.011397e-05,-1.520551e-09,-7.384138e-08,-1.660916e-09,9.651279e-08
"image_0168.png",1,3400,4944,"c00035_x1578_y0333.tif",1578,333,36,51,3.529412e-01,1.044000e+03,9.325751e-02,1.897965e-03,2.256282e-01,-1.178558e-03,4.995507e-03,-2.118779e-03,-1.469105e-03,3.188857e-01,1.753640e-02,2.975971e-04,2.330794e-05,1.644841e-09,1.186299e-07,1.065810e-09,-1.542137e-06
"image_0168.png",1,3400,4944,"c00036_x1742_y0333.tif",1742,333,47,50,4.700000e-01,1.246000e+03,1.026845e-01,2.089750e-02,1.896028e-01,6.399204e-03,1.035355e-02,-1.816991e-03,-1.614405e-03,2.922873e-01,9.301599e-03,1.208085e-03,9.736927e-05,-4.599354e-09,8.160505e-06,-2.977482e-08,2.323388e-06
