src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8,z00,z01,z02,z10,z11,z12,z20,z21,z22
"image_0180.png",1,3400,4944,"c00000_x0386_y0120.tif",386,120,37,55,3.363636e-01,1.105000e+03,8.657462e-02,-4.282700e-03,1.904222e-01,-3.320059e-04,2.929654e-03,1.166167e-02,-1.191324e-02,2.769968e-01,1.085768e-02,1.675873e-03,2.090662e-04,-1.078937e-07,-3.205426e-06,-1.232522e-07,-1.077381e-05,2.268519e-01,5.555556e-01,3.931624e-01,8.611111e-01,4.768519e-01,5.854701e-01,6.008772e-01,4.824561e-01,6.923077e-01
"image_0180.png",1,3400,4944,"c00001_x0457_y0122.tif",457,122,27,52,2.596154e-01,7.270000e+02,3.654045e-02,2.165070e-02,3.868064e-01,-1.718135e-03,3.043944e-03,-1.117588e-02,-1.476613e-02,4.233468e-01,1.245612e-01,1.582958e-03,3.036653e-04,6.586635e-07,2.985901e-06,2.105363e-07,5.356585e-05,4.117647e-01,9.869281e-01,2.352941e-01,0.000000e+00,1.000000e+00,2.222222e-01,3.271605e-01,9.814815e-01,4.814815e-01
"image_0180.png",1,3400,4944,"c00002_x0325_y0123.tif",325,123,32,52,3.076923e-01,9.620000e+02,7.520154e-02,1.795866e-03,2.456774e-01,-4.397856e-03,4.828364e-03,-9.961044e-03,-3.736407e-03,3.208789e-01,2.907491e-02,9.815223e-04,2.073704e-04,1.428079e-07,-3.505773e-05,-7.018854e-08,-2.304816e-06,6.705882e-01,6.058824e-01,6.470588e-01,1.529412e-01,4.470588e-01,6.764706e-01,7.666667e-01,3.888889e-01,7.638889e-01
"image_0180.png",1,3400,4944,"c00003_x1269_y0126.tif",1269,126,46,54,4.259259e-01,1.280000e+03,1.184879e-01,7.999554e-03,2.355624e-01,1.374794e-02,1.723236e-03,8.006083e-03,-3.963869e-03,3.540503e-01,1.396242e-02,1.889015e-04,4.782579e-04,-1.237309e-07,-5.637598e-05,5.848109e-08,-1.961010e-06,6.518519e-01,4.222222e-01,5.694444e-01,5.777778e-01,6.555556e-01,2.777778e-02,6.407407e-01,4.777778e-01,6.354167e-01
"image_0180.png",1,3400,4944,"c00004_x1370_y0126.tif",1370,126,46,55,4.181818e-01,1.394000e+03,1.143116e-01,6.967103e-03,2.075449e-01,1.267122e-02,2.426828e-03,7.220135e-03,-9.230186e-04,3.218564e-01,8.886614e-03,1.481030e-04,3.979273e-04,-3.486130e-08,-3.584478e-05,7.947248e-08,5.529758e-06,7.000000e-01,4.481481e-01,6.319444e-01,6.518519e-01,7.592593e-01,2.430556e-02,6.561404e-01,4.421053e-01,6.611842e-01
"image_0180.png",1,3400,4944,"c00005_x1420_y0126.tif",1420,126,47,53,4.433962e-01,1.428000e+03,1.096688e-01,-2.169649e-03,1.665289e-01,7.353626e-04,5.642633e-04,-5.463610e-03,6.817808e-03,2.761977e-01,3.251905e-03,3.195723e-04,7.685130e-05,-1.840561e-09,2.130329e-06,-5.009568e-09,-1.914932e-06,7.176471e-01,5.098039e-01,6.193772e-01,5.098039e-01,7.176471e-01,5.674740e-01,6.877193e-01,2.175439e-01,6.222910e-01
"image_0180.png",1,3400,4944,"c00006_x1469_y0126.tif",1469,126,47,53,4.433962e-01,1.310000e+03,1.482103e-01,-1.520664e-03,1.985357e-01,5.079252e-03,1.136670e-03,-1.466504e-02,2.014514e-03,3.467460e-01,2.541898e-03,2.410241e-03,1.018173e-04,1.837936e-07,-3.940802e-06,-4.192410e-08,-1.644789e-06,6.862745e-01,4.117647e-01,5.709343e-01,6.196078e-01,6.274510e-02,6.989619e-01,7.263158e-01,3.368421e-01,5.758514e-01
"image_0180.png",1,3400,4944,"c00007_x1520_y0126.tif",1520,126,49,55,4.454545e-01,1.511000e+03,9.134761e-02,1.387813e-02,1.691576e-01,1.647266e-03,5.046037e-03,-2.483702e-03,-2.101558e-03,2.605052e-01,6.824799e-03,3.799865e-04,9.369582e-06,1.411202e-10,4.834512e-07,5.410097e-10,-3.022489e-07,6.770833e-01,5.868056e-01,4.150327e-01,5.902778e-01,6.145833e-01,4.346405e-01,6.578947e-01,4.671053e-01,6.130031e-01
"image_0180.png",1,3400,4944,"c00008_x1216_y0127.tif",1216,127,47,54,4.351852e-01,1.000000e+03,1.505820e-01,9.900091e-02,3.035116e-01,5.464449e-02,3.432308e-02,-1.509519e-02,-7.949886e-02,4.540936e-01,6.259218e-02,4.328062e-02,3.604998e-03,-1.217679e-04,-6.346259e-04,-2.092528e-05,-3.204289e-04,6.962963e-01,3.370370e-01,0.000000e+00,5.592593e-01,1.592593e-01,0.000000e+00,6.259259e-01,5.333333e-01,6.993464e-01
"image_0180.png",1,3400,4944,"c00009_x1320_y0127.tif",1320,127,47,54,4.351852e-01,1.161000e+03,1.477408e-01,9.245521e-03,2.289073e-01,9.787024e-03,6.293463e-04,1.502958e-02,-1.755008e-02,3.766482e-01,6.929920e-03,1.624052e-03,9.021754e-04,-1.036359e-06,-4.227798e-05,-1.049856e-06,-3.103617e-05,5.555556e-01,4.037037e-01,4.673203e-01,7.851852e-01,8.148148e-02,2.287582e-01,5.740741e-01,4.407407e-01,5.915033e-01
