src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8
"image_0167.png",1,3400,4944,"c00000_x3297_y0089.tif",3297,89,4,47,4.255319e-02,8.100000e+01,4.248825e-03,-7.475900e-03,2.106932e+00,1.749211e-04,3.312938e-05,-7.489410e-03,7.413842e-02,2.111181e+00,4.421500e+00,5.994490e-03,5.554920e-03,3.152838e-05,1.147147e-02,6.091208e-08,-1.100034e-03
"image_0167.png",1,3400,4944,"c00001_x2881_y0133.tif",2881,133,34,52,3.269231e-01,1.024000e+03,7.275200e-02,-3.740847e-03,2.308273e-01,-4.648235e-03,5.019577e-03,-7.990892e-03,1.129721e-03,3.035793e-01,2.504379e-02,5.674514e-04,1.975614e-04,3.328645e-08,-1.811172e-05,-6.060793e-08,-1.274203e-05
"image_0167.png",1,3400,4944,"c00002_x2946_y0134.tif",2946,134,36,52,3.461538e-01,1.187000e+03,7.794368e-02,1.057989e-03,2.056671e-01,-3.563159e-03,9.928023e-04,-7.294011e-03,4.749498e-03,2.836108e-01,1.631776e-02,3.387179e-04,1.508522e-04,-2.284289e-08,-1.110809e-05,-3.336656e-08,-7.873109e-06
"image_0167.png",1,3400,4944,"c00003_x1851_y0138.tif",1851,138,21,54,1.944444e-01,6.770000e+02,2.712577e-02,-7.350154e-04,4.288339e-01,5.646638e-05,9.985135e-04,8.325878e-04,-1.389412e-02,4.559597e-01,1.613716e-01,2.912204e-04,1.670870e-04,3.681246e-08,6.651888e-05,-2.318673e-09,-4.483890e-06
"image_0167.png",1,3400,4944,"c00004_x1980_y0138.tif",1980,138,35,54,3.240741e-01,9.930000e+02,1.017117e-01,-1.029046e-03,2.574381e-01,-7.252433e-04,5.508460e-03,-4.213864e-03,-1.607400e-04,3.591498e-01,2.425494e-02,4.204260e-04,5.299289e-05,5.921783e-09,7.632904e-07,2.218945e-09,-4.108869e-06
"image_0167.png",1,3400,4944,"c00005_x1875_y0139.tif",1875,139,47,54,4.351852e-01,1.140000e+03,1.913009e-01,6.203393e-03,2.057003e-01,-2.205074e-04,9.223968e-05,-1.324238e-03,-4.245902e-03,3.970012e-01,3.612729e-04,3.453317e-05,1.963915e-05,7.153003e-10,3.732848e-07,1.876090e-10,1.682303e-10
"image_0167.png",1,3400,4944,"c00006_x1927_y0139.tif",1927,139,45,52,4.326923e-01,1.074000e+03,1.424026e-01,6.158543e-03,2.126462e-01,-3.611299e-03,-6.416865e-04,-9.127731e-03,1.034081e-02,3.550488e-01,5.085866e-03,7.155546e-04,2.563559e-04,-9.453517e-08,-7.835034e-06,-1.093016e-07,-8.259041e-06
"image_0167.png",1,3400,4944,"c00007_x1650_y0140.tif",1650,140,44,53,4.150943e-01,9.350000e+02,1.654409e-01,7.314030e-03,2.835526e-01,2.469433e-02,-1.783256e-02,5.070501e-03,1.850901e-02,4.489935e-01,1.416433e-02,5.274887e-03,8.864030e-04,-3.501706e-07,-1.039973e-04,-1.912922e-06,8.854587e-06
"image_0167.png",1,3400,4944,"c00008_x1700_y0140.tif",1700,140,43,53,4.056604e-01,1.088000e+03,1.366804e-01,-2.829383e-03,2.012452e-01,-1.221891e-03,4.424584e-03,-5.802569e-03,1.068024e-02,3.379256e-01,4.200635e-03,2.687069e-04,2.774988e-04,-6.339519e-10,1.274583e-05,3.116037e-08,-6.344604e-06
"image_0167.png",1,3400,4944,"c00009_x1752_y0140.tif",1752,140,44,53,4.150943e-01,9.570000e+02,1.960015e-01,4.028352e-04,3.142736e-01,3.187640e-02,3.800744e-03,4.709542e-02,2.151456e-03,5.102752e-01,1.398894e-02,1.205610e-02,6.271978e-03,1.000739e-05,-7.326623e-04,1.663967e-05,5.809256e-05
"image_0167.png",1,3400,4944,"c00010_x1801_y0140.tif",1801,140,49,53,4.622642e-01,1.036000e+03,1.213972e-01,4.035836e-03,2.606159e-01,-5.589367e-04,-3.918585e-02,-2.896318e-04,6.735588e-02,3.820131e-01,1.944701e-02,3.419307e-02,7.942703e-04,4.125912e-06,1.099909e-04,-3.665289e-07,-6.527644e-06
"image_0167.png",1,3400,4944,"c00011_x1599_y0141.tif",1599,141,46,53,4.339623e-01,1.161000e+03,1.061071e-01,-5.396804e-02,2.112184e-01,2.462423e-02,-2.024704e-02,-9.674908e-03,2.881456e-02,3.173255e-01,2.269857e-02,1.089843e-02,2.968847e-04,-1.160256e-06,-4.342369e-05,-2.788092e-07,5.362990e-06
"image_0167.png",1,3400,4944,"c00012_x1443_y0142.tif",1443,142,22,53,2.075472e-01,7.110000e+02,2.769477e-02,-1.168348e-03,3.979962e-01,1.670047e-04,1.954813e-04,9.019594e-04,3.279675e-04,4.256910e-01,1.371286e-01,6.512689e-06,1.416683e-06,9.641943e-12,-3.242905e-07,4.280251e-12,2.061865e-07
"image_0167.png",1,3400,4944,"c00013_x1470_y0142.tif",1470,142,97,54,7.216495e-01,1.979000e+03,2.815212e-01,1.763478e-02,1.250489e-01,3.510264e-02,3.647393e-02,8.351150e-03,-1.812956e-02,4.065700e-01,2.572752e-02,1.637033e-02,2.224748e-03,1.316642e-05,2.990296e-04,3.887956e-06,-9.736499e-05
"image_0167.png",1,3400,4944,"c00014_x1257_y0143.tif",1257,143,37,54,3.425926e-01,1.099000e+03,1.015662e-01,-3.094616e-03,2.319650e-01,-5.213261e-04,5.201346e-03,-3.911713e-03,1.923188e-03,3.335311e-01,1.704216e-02,3.129152e-04,7.041082e-05,4.117046e-10,4.447288e-06,7.388566e-09,-4.022165e-06
"image_0167.png",1,3400,4944,"c00015_x1397_y0143.tif",1397,143,44,54,4.074074e-01,9.940000e+02,1.855201e-01,-6.785406e-05,3.008102e-01,2.817444e-02,2.706338e-03,4.128125e-02,4.335078e-03,4.863303e-01,1.329183e-02,9.166938e-03,4.873675e-03,9.809609e-06,-5.505867e-04,1.094457e-05,5.606055e-05
"image_0167.png",1,3400,4944,"c00016_x1344_y0144.tif",1344,144,47,53,4.433962e-01,1.254000e+03,1.273993e-01,1.253881e-02,2.322926e-01,1.705255e-02,3.944323e-03,7.502295e-03,-3.173586e-03,3.596918e-01,1.163150e-02,2.549465e-04,6.035344e-04,-5.230926e-08,-6.223292e-05,2.291185e-07,9.537844e-06
"image_0167.png",1,3400,4944,"c00017_x1294_y0145.tif",1294,145,46,52,4.423077e-01,1.042000e+03,1.410448e-01,-5.381848e-02,2.231161e-01,2.900478e-02,-1.521408e-02,-2.735664e-02,4.270507e-02,3.641609e-01,1.832140e-02,2.014284e-02,7.584710e-04,1.686871e-06,5.204893e-05,2.612591e-06,4.424594e-05
"image_0167.png",1,3400,4944,"c00018_x0353_y0152.tif",353,152,37,52,3.557692e-01,1.036000e+03,9.556460e-02,2.390567e-03,1.850481e-01,1.121433e-03,4.484899e-03,1.050622e-02,-1.492142e-02,2.806127e-01,8.030149e-03,1.729195e-03,2.441232e-04,-1.149794e-07,-3.512133e-06,-1.573259e-07,-1.079619e-05
"image_0167.png",1,3400,4944,"c00019_x0287_y0153.tif",287,153,27,52,2.596154e-01,7.210000e+02,3.491310e-02,1.677405e-02,3.599307e-01,-6.743551e-04,4.419607e-03,-6.631380e-03,-6.896612e-03,3.948438e-01,1.067619e-01,7.756416e-04,5.950933e-05,6.190821e-08,-1.413905e-05,2.181963e-09,6.674006e-06
"image_0167.png",1,3400,4944,"c00020_x0319_y0153.tif",319,153,33,51,3.235294e-01,9.190000e+02,7.739952e-02,4.458395e-04,2.561534e-01,-5.160385e-03,5.415405e-03,-1.066995e-02,3.163537e-04,3.335529e-01,3.195375e-02,9.746536e-04,2.834524e-04,9.581790e-08,-3.908481e-05,-1.489825e-07,-1.612227e-05
"image_0167.png",1,3400,4944,"c00021_x3297_y0156.tif",3297,156,4,69,2.898551e-02,1.870000e+02,4.039942e-03,-5.451582e-03,1.829141e+00,1.866527e-06,1.585752e-03,1.120654e-02,-7.195160e-01,1.833181e+00,3.331113e+00,5.257020e-01,5.155495e-01,2.683801e-01,9.406469e-01,-1.207713e-04,-1.187713e-02
"image_0167.png",1,3400,4944,"c00022_x2918_y0171.tif",2918,171,15,16,4.687500e-01,1.850000e+02,7.549405e-02,1.404063e-03,8.394117e-02,4.803042e-04,6.690271e-05,-4.827879e-04,-1.987920e-04,1.594352e-01,7.923942e-05,3.879360e-06,1.740095e-08,7.591355e-15,1.487234e-10,-4.368241e-15,-2.164769e-11
"image_0167.png",1,3400,4944,"c00023_x3298_y0226.tif",3298,226,4,32,6.250000e-02,5.200000e+01,1.672736e-02,1.128812e-01,1.438233e+00,-8.229901e-04,-1.031074e-02,-8.673745e-02,-3.228972e-01,1.454960e+00,2.071646e+00,1.525264e-01,1.186944e-01,1.982297e-02,1.601014e-01,7.108885e-04,2.980612e-02
"image_0167.png",1,3400,4944,"c00024_x3299_y0266.tif",3299,266,2,8,1.250000e-01,1.300000e+01,1.911698e-02,-2.867547e-02,3.122440e-01,4.078535e-04,-6.117803e-04,-4.826267e-03,2.447121e-02,3.313609e-01,8.921256e-02,9.136471e-04,5.887948e-04,3.954177e-07,1.732385e-04,-1.484002e-08,-1.513735e-05
"image_0167.png",1,3400,4944,"c00025_x3297_y0276.tif",3297,276,5,141,1.773050e-02,4.360000e+02,2.251916e-03,1.450723e-02,3.200114e+00,-2.318581e-05,-8.401145e-04,1.656853e-02,1.114331e+00,3.202366e+00,1.022716e+01,1.249829e+00,1.240135e+00,1.544030e+00,3.965098e+00,1.191855e-04,4.093149e-02
"image_0167.png",1,3400,4944,"c00026_x1856_y0330.tif",1856,330,7,7,5.000000e-01,4.000000e+01,8.025000e-02,-3.375000e-03,7.798437e-02,1.517893e-03,8.893906e-06,-1.599915e-03,-1.078386e-04,1.582344e-01,5.069556e-05,3.993064e-05,1.651759e-08,4.530093e-12,-1.164991e-10,6.746187e-15,-8.050919e-12
"image_0167.png",1,3400,4944,"c00027_x1847_y0340.tif",1847,340,92,42,7.717391e-01,1.485000e+03,4.610644e-01,-6.576613e-02,6.925928e-02,1.027918e-02,-1.867098e-02,-4.149042e-04,2.280481e-03,5.303236e-01,1.708120e-01,3.530923e-03,3.659524e-04,3.210163e-08,-2.460120e-05,4.118788e-07,7.461588e-05
"image_0167.png",1,3400,4944,"c00028_x2014_y0340.tif",2014,340,40,40,5.000000e-01,5.690000e+02,2.157832e-01,-3.159016e-02,1.672328e-01,8.483673e-03,1.558337e-02,-1.369907e-02,-2.028925e-02,3.830159e-01,6.348895e-03,6.952539e-03,4.934567e-05,8.703619e-07,-2.855852e-06,2.759054e-08,-1.351262e-06
"image_0167.png",1,3400,4944,"c00029_x1788_y0343.tif",1788,343,35,10,8.571429e-01,2.830000e+02,3.218505e-01,-4.539870e-03,2.153479e-02,-9.786834e-05,5.434507e-06,-2.155578e-05,-9.519998e-05,3.433853e-01,9.027197e-02,1.353534e-08,2.231996e-08,-4.532057e-16,1.668571e-09,2.848073e-17,-3.247600e-09
"image_0167.png",1,3400,4944,"c00030_x2061_y0345.tif",2061,345,19,66,1.439394e-01,5.400000e+02,3.372570e-02,1.108733e-02,6.499686e-01,2.024804e-03,4.134440e-03,8.458948e-02,2.126681e-02,6.836943e-01,3.802471e-01,6.345342e-02,8.147258e-03,5.644970e-04,-4.127888e-03,1.355183e-04,1.431827e-03
"image_0167.png",1,3400,4944,"c00031_x2124_y0347.tif",2124,347,18,62,1.451613e-01,5.560000e+02,2.681407e-02,1.150135e-02,4.870401e-01,-4.210551e-04,-2.839202e-03,-5.285224e-02,-8.194548e-03,5.138542e-01,2.123371e-01,2.500699e-02,2.959788e-03,7.030706e-05,-1.223070e-03,1.468584e-05,3.017639e-04
"image_0167.png",1,3400,4944,"c00032_x1966_y0352.tif",1966,352,45,68,3.308824e-01,1.061000e+03,1.702136e-01,-4.165568e-02,3.333672e-01,-2.139009e-03,-2.080668e-02,9.087921e-03,3.647026e-02,5.035808e-01,3.355989e-02,1.064381e-02,2.936352e-04,1.417995e-06,1.401510e-05,4.263332e-07,2.596712e-05
"image_0167.png",1,3400,4944,"c00033_x1508_y0359.tif",1508,359,37,50,3.700000e-01,9.060000e+02,1.080869e-01,5.970523e-03,2.587425e-01,-7.343918e-04,6.973396e-03,-3.748764e-03,-8.784529e-03,3.668294e-01,2.283967e-02,9.928703e-04,2.337889e-05,1.819378e-08,-2.339884e-06,-2.805836e-10,1.323676e-06
"image_0167.png",1,3400,4944,"c00034_x1574_y0359.tif",1574,359,41,50,4.100000e-01,9.200000e+02,1.112316e-01,-5.566447e-02,2.458249e-01,1.925204e-02,-1.518244e-02,-1.630904e-02,3.807199e-02,3.570565e-01,3.050947e-02,1.164059e-02,5.325927e-04,6.697131e-07,5.435277e-05,1.161766e-06,3.774897e-05
"image_0167.png",1,3400,4944,"c00035_x1621_y0359.tif",1621,359,46,49,4.693878e-01,1.033000e+03,1.993730e-01,-3.913062e-03,1.961415e-01,1.544694e-03,-1.301258e-03,-4.942341e-04,3.891267e-03,3.955145e-01,7.169081e-05,6.992782e-05,7.811610e-06,-3.798846e-11,-6.069659e-08,1.823926e-10,1.313951e-08
"image_0167.png",1,3400,4944,"c00036_x1673_y0359.tif",1673,359,47,49,4.795918e-01,1.065000e+03,1.146803e-01,2.252781e-02,2.107957e-01,6.966244e-03,1.217211e-02,-9.146404e-04,-2.370122e-03,3.254761e-01,1.126818e-02,1.606444e-03,1.327009e-04,5.504916e-09,1.105994e-05,-6.052364e-08,4.361912e-06
"image_0167.png",1,3400,4944,"c00037_x1344_y0360.tif",1344,360,35,51,3.431373e-01,8.670000e+02,1.088247e-01,6.800287e-03,2.669757e-01,-1.537642e-03,7.736923e-03,-3.434531e-03,-6.345240e-03,3.758005e-01,2.519671e-02,9.503996e-04,2.665929e-05,1.439964e-08,-3.791808e-06,-3.660460e-09,-9.394056e-07
"image_0167.png",1,3400,4944,"c00038_x1406_y0360.tif",1406,360,46,49,4.693878e-01,1.001000e+03,2.084032e-01,-4.656292e-03,2.025227e-01,2.367931e-03,-7.773947e-05,-9.216185e-04,5.731090e-03,4.109259e-01,1.213045e-04,6.191848e-05,3.405220e-05,3.664340e-10,-3.279310e-07,1.554361e-09,9.099474e-08
"image_0167.png",1,3400,4944,"c00039_x1456_y0360.tif",1456,360,48,50,4.800000e-01,1.167000e+03,1.557961e-01,-2.865171e-03,1.770867e-01,1.450841e-03,-2.774122e-03,-4.538418e-03,5.698828e-03,3.328828e-01,4.861249e-04,4.235811e-04,1.808703e-05,-1.077567e-09,8.264459e-08,-1.581513e-09,-1.950648e-07
"image_0167.png",1,3400,4944,"c00040_x1244_y0361.tif",1244,361,94,50,7.340426e-01,2.009000e+03,3.225208e-01,-2.625512e-02,1.006863e-01,7.992352e-03,6.424673e-03,2.057262e-03,-3.393395e-03,4.232072e-01,5.196787e-02,5.171262e-04,1.101834e-04,2.193687e-08,1.716650e-05,1.510564e-08,-9.168163e-06
"image_0167.png",1,3400,4944,"c00041_x1381_y0361.tif",1381,361,21,49,2.142857e-01,5.770000e+02,3.188211e-02,1.155778e-03,4.376008e-01,-1.727866e-05,4.363005e-04,-1.337778e-03,2.554810e-03,4.694829e-01,1.646130e-01,1.752074e-05,1.078292e-05,2.693138e-11,2.866152e-06,-1.118046e-12,-1.652646e-06
"image_0167.png",1,3400,4944,"c00042_x1141_y0362.tif",1141,362,94,49,7.393617e-01,2.095000e+03,3.070873e-01,-3.500209e-02,1.143961e-01,2.648992e-02,-1.749791e-02,-9.804032e-03,6.692135e-03,4.214834e-01,4.203050e-02,6.628002e-03,3.951835e-04,6.921140e-07,5.639338e-05,5.049973e-07,2.908475e-05
"image_0167.png",1,3400,4944,"c00043_x1092_y0363.tif",1092,363,42,49,4.285714e-01,1.045000e+03,1.196752e-01,1.504968e-03,2.509573e-01,1.138581e-02,2.005790e-03,7.152790e-03,-9.551350e-04,3.706326e-01,1.724404e-02,1.500722e-04,3.447837e-04,-3.511317e-08,-4.485683e-05,5.489575e-08,3.072636e-06
"image_0167.png",1,3400,4944,"c00044_x2098_y0369.tif",2098,369,29,33,4.393939e-01,5.010000e+02,9.757854e-02,-3.293913e-02,2.155701e-01,-4.669139e-04,2.856114e-03,2.223016e-03,-6.745247e-03,3.131487e-01,1.826196e-02,2.854280e-04,1.820925e-05,1.079998e-09,2.320650e-06,-9.743201e-10,-4.092134e-07
"image_0167.png",1,3400,4944,"c00045_x1754_y0370.tif",1754,370,30,34,4.411765e-01,5.460000e+02,1.187808e-01,-3.627480e-02,1.629169e-01,4.539648e-03,-2.542061e-03,9.527624e-03,9.351312e-03,2.816977e-01,7.211439e-03,8.663119e-04,2.442540e-04,2.314418e-07,-2.058630e-05,7.556097e-08,-1.268750e-06
"image_0167.png",1,3400,4944,"c00046_x2010_y0406.tif",2010,406,35,33,5.285714e-01,4.580000e+02,2.029877e-01,-3.064511e-02,1.770241e-01,4.204219e-02,-3.317498e-02,-1.935323e-02,6.990499e-03,3.800118e-01,4.430598e-03,2.136592e-02,1.200416e-03,2.522890e-06,6.838931e-05,5.977670e-06,2.066028e-05
"image_0167.png",1,3400,4944,"c00047_x0267_y0486.tif",267,486,2869,4138,3.466651e-01,4.576520e+05,2.078953e+00,3.214928e-03,3.658821e+00,2.969858e-01,1.440739e-01,8.175657e-02,5.997268e-01,5.737774e+00,2.496025e+00,3.073251e-02,6.966853e-01,-9.167732e-03,6.510428e-01,1.009219e-01,4.437454e-01
"image_0167.png",1,3400,4944,"c00048_x3105_y0511.tif",3105,511,7,5,6.428571e-01,2.800000e+01,1.258655e-01,1.416727e-02,5.735241e-02,-5.484474e-03,-7.676051e-03,-2.478129e-04,9.205357e-04,1.832179e-01,5.496894e-03,5.960170e-04,7.849610e-05,9.421110e-09,1.319034e-06,-1.597989e-08,-2.834167e-06
"image_0167.png",1,3400,4944,"c00049_x3300_y0556.tif",3300,556,2,13,7.692308e-02,1.400000e+01,4.737609e-03,2.368805e-02,1.047012e+00,1.085297e-03,5.426483e-03,9.405904e-03,-1.302356e-01,1.051749e+00,1.088580e+00,2.220282e-02,1.568738e-02,2.912513e-04,1.599704e-02,-2.003093e-05,-1.731140e-03
"image_0167.png",1,3400,4944,"c00050_x1570_y0575.tif",1570,575,45,63,3.571429e-01,9.440000e+02,1.197872e-01,-7.028422e-02,3.094241e-01,-3.747358e-02,3.351517e-02,2.179903e-02,-3.482097e-02,4.292112e-01,5.572162e-02,2.890646e-02,2.473967e-04,-5.540948e-07,-5.202310e-05,-6.092382e-07,-1.326693e-05
"image_0167.png",1,3400,4944,"c00051_x1636_y0633.tif",1636,633,26,37,3.513514e-01,5.280000e+02,8.240364e-02,7.677417e-04,2.247185e-01,-6.589851e-03,3.065396e-03,-1.108352e-02,-1.310617e-03,3.071222e-01,2.025589e-02,8.211862e-04,3.154273e-04,8.718855e-08,-4.410879e-05,-9.997902e-08,-4.176152e-06
