src_image,page,page_width,page_height,cc_image,x,y,w,h,aspect,m00,n20,n11,n02,n30,n21,n12,n03,i1,i2,i3,i4,i5,i6,i7,i8,z00,z01,z02,z10,z11,z12,z20,z21,z22
"image_0181.png",1,3400,4944,"c00000_x0400_y0137.tif",400,137,34,53,3.207547e-01,9.290000e+02,8.799289e-02,1.668085e-02,2.674073e-01,1.270975e-04,7.654638e-03,-4.251647e-03,-9.866611e-03,3.554002e-01,3.330253e-02,1.243790e-03,2.190474e-05,2.751722e-08,-1.565594e-06,9.988569e-10,1.839025e-06,5.935829e-01,6.096257e-01,3.480392e-01,4.117647e-01,4.224599e-01,5.294118e-01,6.172249e-01,3.827751e-01,7.017544e-01
"image_0181.png",1,3400,4944,"c00001_x1278_y0137.tif",1278,137,36,55,3.272727e-01,1.028000e+03,9.649359e-02,-8.560607e-04,2.535946e-01,-6.233238e-04,5.516527e-03,-3.884016e-03,-9.585524e-05,3.500882e-01,2.468367e-02,3.987033e-04,4.969980e-05,4.200278e-09,1.508190e-06,3.202396e-09,-3.830658e-06,5.555556e-01,3.888889e-01,5.185185e-01,3.842593e-01,6.759259e-01,5.833333e-01,6.271930e-01,3.640351e-01,5.745614e-01
"image_0181.png",1,3400,4944,"c00002_x1417_y0137.tif",1417,137,44,55,4.000000e-01,1.086000e+03,1.737206e-01,-1.979168e-03,2.836851e-01,2.229478e-02,1.920799e-04,3.671667e-02,-9.808266e-05,4.574057e-01,1.210787e-02,7.718993e-03,3.482360e-03,2.802402e-06,-3.829781e-04,2.248445e-07,-6.282176e-06,5.119048e-01,4.206349e-01,6.423611e-01,8.492063e-01,0.000000e+00,1.388889e-02,5.864662e-01,3.947368e-01,6.151316e-01
"image_0181.png",1,3400,4944,"c00003_x1468_y0137.tif",1468,137,121,56,7.685950e-01,2.774000e+03,3.786007e-01,3.894502e-02,9.742124e-02,2.915910e-02,1.936811e-02,1.921485e-03,-8.261760e-03,4.760219e-01,8.512873e-02,4.951768e-03,1.089354e-03,2.659870e-06,2.907104e-04,5.083268e-07,-6.424378e-05,3.430556e-01,3.708333e-01,2.682927e-01,3.527778e-01,5.138889e-01,2.276423e-01,5.800000e-01,4.250000e-01,5.682927e-01
"image_0181.png",1,3400,4944,"c00004_x1670_y0137.tif",1670,137,46,55,4.181818e-01,1.114000e+03,1.415258e-01,6.843309e-03,2.558295e-01,1.175168e-02,-1.670017e-02,3.614712e-03,1.505228e-02,3.973553e-01,1.325267e-02,4.245710e-03,2.388415e-04,6.447784e-08,-2.737283e-05,-2.271891e-07,-1.297116e-06,7.148148e-01,2.666667e-01,6.076389e-01,5.851852e-01,9.259259e-02,4.305556e-01,4.000000e-01,4.561404e-01,4.046053e-01
"image_0181.png",1,3400,4944,"c00005_x1720_y0137.tif",1720,137,45,54,4.166667e-01,1.214000e+03,1.265692e-01,4.116489e-03,1.932568e-01,1.201477e-05,1.090775e-03,-6.338720e-03,1.165557e-02,3.198260e-01,4.515017e-03,4.323502e-04,2.024966e-04,9.920195e-09,6.837520e-06,-1.344762e-08,-5.881878e-06,7.185185e-01,3.703704e-01,5.629630e-01,4.296296e-01,6.333333e-01,5.074074e-01,5.666667e-01,1.333333e-01,5.740741e-01
"image_0181.png",1,3400,4944,"c00006_x0368_y0138.tif",368,138,26,52,2.500000e-01,6.890000e+02,3.623516e-02,2.406019e-02,4.187700e-01,-6.350581e-04,5.541457e-03,-9.823667e-03,-1.286245e-02,4.550051e-01,1.486485e-01,1.700984e-03,1.629818e-04,3.733858e-07,-1.397188e-05,7.381453e-08,3.063228e-05,4.117647e-01,9.926471e-01,2.823529e-01,0.000000e+00,9.632353e-01,2.411765e-01,3.611111e-01,9.236111e-01,5.166667e-01
"image_0181.png",1,3400,4944,"c00007_x0437_y0139.tif",437,139,36,52,3.461538e-01,9.870000e+02,1.142768e-01,-2.234170e-03,2.099253e-01,-1.381918e-03,-7.312115e-04,-1.448965e-03,3.052242e-03,3.242021e-01,9.168603e-03,3.631032e-05,1.340108e-05,-2.296726e-10,-1.925224e-07,-2.493731e-10,-6.343334e-07,5.196078e-01,4.460784e-01,5.784314e-01,7.892157e-01,0.000000e+00,8.921569e-01,5.416667e-01,4.166667e-01,5.648148e-01
"image_0181.png",1,3400,4944,"c00008_x1316_y0139.tif",1316,139,47,53,4.433962e-01,1.143000e+03,1.339304e-01,-4.802072e-02,2.018059e-01,2.380007e-02,-9.959100e-03,-2.701317e-02,3.832076e-02,3.357362e-01,1.383104e-02,1.564232e-02,8.147080e-04,1.621678e-06,7.140151e-05,1.773158e-06,3.194592e-05,6.549020e-01,5.098039e-01,6.297578e-01,5.450980e-01,4.392157e-01,5.363322e-01,6.315789e-01,2.736842e-01,0.000000e+00
"image_0181.png",1,3400,4944,"c00009_x1367_y0139.tif",1367,139,47,54,4.351852e-01,1.443000e+03,1.130609e-01,4.918894e-03,1.959524e-01,1.298881e-02,1.308575e-03,5.824211e-03,-8.426670e-04,3.090133e-01,6.967772e-03,4.284224e-05,3.541467e-04,-2.121710e-08,-2.914729e-05,3.390952e-08,2.466429e-06,6.925926e-01,5.000000e-01,6.339869e-01,6.148148e-01,7.851852e-01,9.803922e-02,6.666667e-01,5.000000e-01,6.666667e-01
